City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,tegina,10.0706,6.1906,72.28,95,34,2.55,NG,2023-06-29 03:31:37
266,bardai,11.65,7.2333,72.25,86,30,7.58,NG,2023-06-29 03:31:37
267,san antonio,29.4241,-98.4936,90.12,54,0,20.71,US,2023-06-29 03:26:45
268,belmonte,-15.8631,-38.8828,71.33,88,25,4.72,BR,2023-06-29 03:31:37
269,paradip garh,20.3167,86.6167,91.11,59,96,12.77,IN,2023-06-29 03:31:38
270,mineros,-17.1167,-63.2333,70.11,68,89,9.66,BO,2023-06-29 03:31:38
271,ancud,-41.8697,-73.8203,44.13,85,100,7.29,CL,2023-06-29 03:31:38
272,port hedland,-20.3167,118.5667,68.05,32,0,23.02,AU,2023-06-29 03:27:52
273,pisco,-13.7,-76.2167,64.45,82,1,8.05,PE,2023-06-29 03:31:38
274,kolokani,13.5728,-8.0339,79.27,69,32,4.74,ML,2023-06-29 03:31:39
275,maintirano,-18.0667,44.0167,65.71,76,21,7.54,MG,2023-06-29 03:31:39
276,flin flon,54.7682,-101.865,60.19,85,16,5.26,CA,2023-06-29 03:31:39
277,mbandjok,4.45,11.9,68.72,99,100,2.13,CM,2023-06-29 03:31:39
278,romulus,42.2223,-83.3966,67.93,77,75,3.44,US,2023-06-29 03:31:39
279,justo daract,-33.8594,-65.1828,47.14,40,56,13.49,AR,2023-06-29 03:31:40
280,uzgen,40.7699,73.3007,70.09,24,79,2.46,KG,2023-06-29 03:30:32
281,talara,-4.5772,-81.2719,72.45,80,0,18.19,PE,2023-06-29 03:31:40
282,tsiombe,-25.3,45.4833,66.27,74,71,11.03,MG,2023-06-29 03:31:40
283,amahai,-3.3333,128.9167,82.76,75,79,5.93,ID,2023-06-29 03:31:40
284,praya,14.9215,-23.5087,77.54,73,20,13.8,CV,2023-06-29 03:31:41
285,maitum,6.0392,124.4986,86.07,68,76,5.3,PH,2023-06-29 03:31:41
286,'ain el hadjar,34.7585,0.1453,67.33,30,2,5.01,DZ,2023-06-29 03:31:41
287,hobyo,5.3505,48.5268,77.67,80,100,23.67,SO,2023-06-29 03:31:41
288,chu,43.5983,73.7614,78.37,22,99,2.98,KZ,2023-06-29 03:31:41
289,talcahuano,-36.7167,-73.1167,47.88,81,100,4.61,CL,2023-06-29 03:31:42
290,calwell,-35.4404,149.1071,50.95,68,75,13.8,AU,2023-06-29 03:31:42
291,fale old settlement,-9.3852,-171.2468,83.75,74,100,14.54,TK,2023-06-29 03:31:42
292,vila franca do campo,37.7167,-25.4333,72.01,89,99,11.54,PT,2023-06-29 03:31:42
293,westport,41.1415,-73.3579,72.73,81,7,1.99,US,2023-06-29 03:28:41
294,lishu,43.3047,124.3278,76.51,61,90,10.56,CN,2023-06-29 03:31:43
295,pontianak,-0.0333,109.3333,85.98,66,20,10.36,ID,2023-06-29 03:29:18
296,magong,23.5654,119.5863,84.0,77,54,7.2,TW,2023-06-29 03:31:43
297,laascaanood,8.4774,47.3597,71.4,78,100,28.92,SO,2023-06-29 03:31:44
298,lompoc,34.6391,-120.4579,59.14,85,100,18.01,US,2023-06-29 03:28:45
299,nantucket,41.2835,-70.0995,67.08,98,100,6.91,US,2023-06-29 03:26:50
300,aswan,24.0934,32.907,83.5,26,0,4.61,EG,2023-06-29 03:31:44
301,porec,45.2258,13.5939,66.85,57,5,5.46,HR,2023-06-29 03:31:44
